# Authoritative names for extracted Paper Mario SoundBank WAV files.
# Column 1 is the raw dump stem; column 2 is the stable asset stem.
# Loop companions consistently use the PascalCase _Loop suffix.

PS01_00	PS01_00_Standard1Kick1
PS01_01	PS01_01_Standard1Snare1
PS01_02	PS01_02_Standard1Snare2
PS01_03	PS01_03_Standard1ClosedHiHat
PS01_04	PS01_04_Standard1PedalHiHat
PS01_05	PS01_05_Standard1OpenHiHat
PS01_06	PS01_06_Standard1CrashCymbal1
PS01_07	PS01_07_Standard1CrashCymbal2
PS01_08	PS01_08_Standard1HighTom1
PS01_09	PS01_09_Standard1HighTom2
PS01_0A	PS01_0A_Standard1MidTom1
PS01_0B	PS01_0B_Standard1MidTom2
PS01_0C	PS01_0C_Standard1LowTom1
PS01_0D	PS01_0D_Standard1LowTom2
PS01_0E	PS01_0E_Standard1RideCymbal1
PS01_0F	PS01_0F_Standard1RideBell

PS02_00	PS02_00_OrchestraConcertBassDrum1
PS02_01	PS02_01_OrchestraConcertSnareDrum
PS02_02	PS02_02_OrchestraConcertCymbal1
PS02_03	PS02_03_HipHopKick2
PS02_04	PS02_04_ElectronicElectricKick2
PS02_05	PS02_05_DanceHouseSnare
PS02_06	PS02_06_RoomKick2
PS02_07	PS02_07_RoomKick1
PS02_08	PS02_08_RoomSnare1
PS02_09	PS02_09_TR808Kick2
PS02_0A	PS02_0A_TR808Kick1
PS02_0B	PS02_0B_TR808Snare1
PS02_0C	PS02_0C_TR808Snare2
PS02_0D	PS02_0D_Unk
PS02_0E	PS02_0E_TR808OpenHiHat
PS02_0F	PS02_0F_Unk

PS03_00	PS03_00_Standard1LowBongo
PS03_01	PS03_01_Standard1HighBongo
PS03_02	PS03_02_Standard1OpenCuica
PS03_03	PS03_03_Standard1MuteCuica
PS03_04	PS03_04_Standard1Tambourine
PS03_05	PS03_05_Standard1OpenTriangle
PS03_06	PS03_06_Standard1LowConga
PS03_07	PS03_07_Standard1OpenHighConga
PS03_08	PS03_08_Standard1MuteHighConga
PS03_09	PS03_09_Standard1HighTimbale
PS03_0A	PS03_0A_Standard1LowTimbale
PS03_0B	PS03_0B_Standard1LongGuiro
PS03_0C	PS03_0C_Standard1ShortGuiro
PS03_0D	PS03_0D_Standard1Cabasa
PS03_0E	PS03_0E_Standard1Castanets
PS03_0F	PS03_0F_Standard1MidTom2

PS04_00	PS04_00_Standard1Claves
PS04_01	PS04_01_Standard1Cowbell
PS04_02	PS04_02_Standard1HighAgogo
PS04_03	PS04_03_Standard1LowAgogo
PS04_04	PS04_04_Standard1HighWoodBlock
PS04_05	PS04_05_Standard1LowWoodBlock
PS04_06	PS04_06_Standard1LongLowWhistle
PS04_07	PS04_07_Standard1Shaker
PS04_08	PS04_08_Standard1Maracas
PS04_09	PS04_09_Standard2HandClap
PS04_0A	PS04_0A_Standard1TR909HandClap
PS04_0B	PS04_0B_Standard1Sticks
PS04_0C	PS04_0C_Standard1SideStick
PS04_0D	PS04_0D_Standard1VibraSlap
PS04_0E	PS04_0E_Unk
PS04_0F	PS04_0F_Standard1SnareRoll

PS05_00	PS05_00_Unk
PS05_01	PS05_01_Unk
PS05_02	PS05_02_Unk
PS05_03	PS05_03_Unk
PS05_04	PS05_04_Unk
PS05_05	PS05_05_Unk
PS05_06	PS05_06_HeartBeat
PS05_07	PS05_07_Standard1BellTree
PS05_08	PS05_08_Standard1JingleBell
PS05_09	PS05_09_Standard1ChineseCymbal
PS05_0A	PS05_0A_Standard1OpenSurdo
PS05_0B	PS05_0B_Standard1MuteSurdo
PS05_0C	PS05_0C_PowerSnare1
PS05_0D	PS05_0D_PowerKick1
PS05_0E	PS05_0E_PowerMidTom2
PS05_0F	PS05_0F_Standard1Kick1

PS11_00	PS11_00_Unk
PS11_01	PS11_01_Unk
PS11_02	PS11_02_Unk
PS11_03	PS11_03_Unk
PS11_04	PS11_04_Unk
PS11_05	PS11_05_Unk
PS11_06	PS11_06_Unk
PS11_07	PS11_07_Unk
PS11_08	PS11_08_Unk
PS11_08_Loop	PS11_08_Unk_Loop
PS11_09	PS11_09_Unk
PS11_0A	PS11_0A_Unk
PS11_0B	PS11_0B_Unk
PS11_0C	PS11_0C_Unk
PS11_0D	PS11_0D_Unk
PS11_0E	PS11_0E_Unk

GM01_00	GM01_00_MarimbaC5
GM01_01	GM01_01_MarimbaC6
GM01_02	GM01_02_MarimbaC7
GM01_03	GM01_03_XylophoneC5
GM01_04	GM01_04_XylophoneC6
GM01_05	GM01_05_XylophoneC7
GM01_06	GM01_06_VibraphoneC5
GM01_06_Loop	GM01_06_VibraphoneC5_Loop
