001 SOUND_OPEN_POPUP_1
002 SOUND_OPEN_POPUP_2
003 SOUND_LOWER_STATUS_BAR
004 SOUND_RAISE_STATUS_BAR
005 SOUND_MENU_BADGE_EQUIP
006 SOUND_MENU_BADGE_UNEQUIP
009 SOUND_MENU_SHOW_CHOICE
00A SOUND_CHIME_BEGIN_AMBUSH
00B SOUND_CHIME_SOLVED_PUZZLE
00C SOUND_ACTIVATE_COMPUTER
00D SOUND_PARTNER_PUT_AWAY
00E SOUND_PARTNER_GET_OUT
00F SOUND_PARTNER_SWAP_BATTLE_POS
010 SOUND_SAVE_CONFIRM
011 SOUND_MSG_VOICE_1A
012 SOUND_MSG_VOICE_1B
013 SOUND_MSG_VOICE_2A
014 SOUND_MSG_VOICE_2B
015 SOUND_MSG_VOICE_3A
016 SOUND_MSG_VOICE_3B
017 SOUND_MSG_VOICE_4A
018 SOUND_MSG_VOICE_4B
019 SOUND_MSG_VOICE_5A
01A SOUND_MSG_VOICE_5B
01B SOUND_MSG_VOICE_STAR
021 SOUND_LRAW_TRD_FLOWING_WATER
022 SOUND_LRAW_TRD_RAISE_STAIRS
023 SOUND_TRD_WATER_SPLASH
024 SOUND_LRAW_TRD_02_LOWER_STAIRS
025 SOUND_TRD_02_STAIRS_LOWERED
026 SOUND_TRD_PUZZLE_PLATFORM_THUD
027 SOUND_LRAW_TRD_04_LOWER_STAIRS
028 SOUND_TRD_04_STAIRS_LOWERED
029 SOUND_TRD_POUNDING_HIGH
02A SOUND_TRD_POUNDING_LOW
02B SOUND_TRD_MAGIC_DOOR_JUMP
02C SOUND_TRD_MAGIC_DOOR_LAND
02D SOUND_PRA_PUSH_STATUE
02E SOUND_PRA_FLIP_WALL
02F SOUND_PRA_EXTEND_HIDDEN_BRIDGE
030 SOUND_PRA_UNFOLD_EXIT
033 SOUND_LRAW_KKJ_RUMBLING
034 SOUND_LRAW_OSR_RUMBLING
035 SOUND_OSR_GROUND_CRACKING
036 SOUND_OSR_SMOKE_RISING_1
037 SOUND_OSR_SMOKE_RISING_2
038 SOUND_OSR_SMOKE_RISING_3
039 SOUND_LRAW_MAC_HARBOR_WATER
03F SOUND_PRA_SHIFT_FLOORS_RUMBLE
040 SOUND_PRA_SHIFT_FLOORS_THUD
041 SOUND_WHALE_JIGGLE
042 SOUND_WHALE_FILL
043 SOUND_LRAW_WHALE_GEYSER
044 SOUND_WHALE_EJECT
045 SOUND_JR_TROOPA_SPLASH
046 SOUND_LRAW_JR_TROOPA_SWIM
047 SOUND_BOO_SPOOK
048 SOUND_OBJECT_LAND
049 SOUND_UNUSED_WATER_RUNNING
04A SOUND_LRAW_JAN_BEACH_WAVES
04C SOUND_LRAW_OSR_FOUNTAIN_INTACT
04D SOUND_LRAW_OSR_FOUNTAIN_BROKEN
04E SOUND_LRAW_JAN_SMALL_GEYSER
04F SOUND_LRAW_JAN_LARGE_GEYSER
050 SOUND_LRAW_WINDMILL_EXT
051 SOUND_OMO_FLIP_TRACK_THUD
052 SOUND_LRAW_TROMP_ROLL
053 SOUND_ISK_DRAINING_SAND
054 SOUND_ISK_FLIP_STAIRS
055 SOUND_LARGE_LENS_FLARE
056 SOUND_LRAW_ISK_LOWER_STAIRS
057 SOUND_ISK_STAIR_DROP_THUD
058 SOUND_ISK_STAIRS_EMERGE_RUMBLE
059 SOUND_ISK_STAIRS_EMERGE_THUD
05A SOUND_KKJ_ARENA_LENS_FLARE
05B SOUND_LRAW_SBK_RUINS_WHIRLWIND
05C SOUND_SBK_RUINS_FINISH_RISING
05D SOUND_LRAW_SBK_RUINS_RISING
05E SOUND_SBK_RUINS_STEPS_UNFOLD
05F SOUND_SBK_RUINS_PEDESTAL_SINK
060 SOUND_LRAW_SBK_RUINS_RISING_DISTANT
061 SOUND_GOOMPA_ATTACKED
062 SOUND_TWINK_DEPART
063 SOUND_UNUSED_STAR_SPIRIT_APPEARS
064 SOUND_MULTIPLE_STAR_SPIRITS_APPEAR
067 SOUND_NOK_BRIDGE_XYLOPHONE_1
068 SOUND_NOK_BRIDGE_XYLOPHONE_2
069 SOUND_NOK_BRIDGE_XYLOPHONE_3
06A SOUND_NOK_BRIDGE_XYLOPHONE_4
06B SOUND_NOK_BRIDGE_XYLOPHONE_5
06C SOUND_NOK_BRIDGE_XYLOPHONE_6
06D SOUND_NOK_BRIDGE_XYLOPHONE_7
070 SOUND_LRAW_WINDMILL_GEARS
071 SOUND_NOK_BRIDGE_THUD_1
072 SOUND_NOK_BRIDGE_THUD_2
073 SOUND_NOK_BRIDGE_THUD_3
074 SOUND_JR_TROOPA_SCAMPER
077 SOUND_NOK_HOUSE_CONFLICT
07D SOUND_PULSE_STONE
082 SOUND_TRAIN_DEPARTURE
083 SOUND_LRAW_TOYBOX_TRAIN_GEAR
084 SOUND_OMO_TOY_TRAIN_WHISTLE_B
085 SOUND_OMO_PLATFORM_ASCEND
087 SOUND_OMO_PLATFORM_DESCEND
089 SOUND_LRAW_AUDIENCE_MURMUR
08A SOUND_AUDIENCE_CHEER
08B SOUND_AUDIENCE_BOO
08C SOUND_QUIZ_NEXT_QUESTION
08D SOUND_QUIZ_BUZZER
08E SOUND_LRAW_QUIZ_TICKING
08F SOUND_QUIZMO_VANISH
091 SOUND_LRAW_PUFF_PUFF_MACHINE
092 SOUND_KKJ_USE_SNEAKY_PARASOL
093 SOUND_KKJ_ROTATING_WALL
094 SOUND_LRAW_DGB_COLLAPSE
095 SOUND_DGB_COLLAPSE_1
096 SOUND_DGB_COLLAPSE_2
097 SOUND_DGB_COLLAPSE_4
098 SOUND_DGB_COLLAPSE_3
099 SOUND_LRAW_OBK_LOWER_CHAIN
09B SOUND_OBK_CAGE_SLAM
09D SOUND_OBK_CHANDELIER_SWING
09E SOUND_LRAW_MOVE_STATUE
09F SOUND_LRAW_MOVE_LARGE_STATUE
0A0 SOUND_LRAW_OMO_ROTATING_WHEEL
0A1 SOUND_OMO_TOYBOX_TRAIN_DROP
0A2 SOUND_LRAW_STAR_ORB_RISING
0A3 SOUND_STARSHIP_APPEARS
0A4 SOUND_KPA_LIGHT_RAYS
0A5 SOUND_KMR_TOWER_COLLAPSE_RUMBLE_LOOP
0A6 SOUND_KMR_TOWER_COLLAPSE_THUD
0A7 SOUND_KMR_TOWER_COLLAPSE_UNFOLD
0A8 SOUND_DGB_SMALL_THUD
0A9 SOUND_ROWF_OPEN_SHOP
0AA SOUND_ROWF_PULL_RUG_OUT
0AB SOUND_ROWF_CLOSE_SHOP
0AC SOUND_ROWF_PUSH_RUG_IN
0AD SOUND_LRAW_STAR_SANCTUARY_FAR
0AE SOUND_LRAW_STAR_SANCTUARY_NEAR
0AF SOUND_LRAW_STAR_SANCTUARY_INSIDE
0B0 SOUND_INTRO_NEXT_PAGE
0B1 SOUND_MERLAR_APPEARS
0B2 SOUND_STAR_ORB_BURST
0B4 SOUND_TUBBA_POUNDING
0C1 SOUND_BOO_VANISH_A
0C2 SOUND_BOO_VANISH_B
0C3 SOUND_BOO_APPEAR_A
0C4 SOUND_BOO_APPEAR_B
0C5 SOUND_MENU_OPEN
0C6 SOUND_MENU_CLOSE
0C7 SOUND_MENU_CHANGE_SELECTION
0C8 SOUND_MENU_CHANGE_TAB
0C9 SOUND_MENU_NEXT
0CA SOUND_MENU_BACK
0CB SOUND_MSG_WAIT
0CC SOUND_MSG_SKIP
0CD SOUND_MSG_REWIND
0CE SOUND_MSG_UNREWIND
0D1 SOUND_JINGLE_GOT_ITEM
0D2 SOUND_JINGLE_GOT_KEY
0D3 SOUND_JINGLE_GOT_BADGE
0D4 SOUND_JINGLE_WON_BATTLE
0D5 SOUND_FILE_MENU_IN
0D6 SOUND_FILE_MENU_OUT
0D9 SOUND_TRANSPORTER_IN
0DA SOUND_TRANSPORTER_OUT
0DB SOUND_SLIDE_WHISTLE_IN
0DC SOUND_SLIDE_WHISTLE_OUT
0DD SOUND_HEAVY_OBJECT_DROP
0DF SOUND_CHECK_LAUGHING_FLOWERS
0E0 SOUNC_CHECK_MAILBOX
0E1 SOUND_HIT_PLAYER_NORMAL
0E2 SOUND_HIT_PLAYER_FIRE
0E3 SOUND_HIT_PLAYER_ICE
0E7 SOUND_FROZEN_SHATTER
0E8 SOUND_TOUCH_LAVA
0E9 SOUND_HIT_NORMAL
0EA SOUND_HIT_FIRE
0EB SOUND_HIT_ICE
0F1 SOUND_PLANTS_BELL
0F2 SOUND_PLANTS_CYMBAL_CRASH
0F3 SOUND_PLANTS_TRUMPET
0F4 SOUND_PLANTS_LIGHT_UP
0F5 SOUND_FIREPLACE_BURST
0F6 SOUND_OBK_CHECK_CABINET
0F7 SOUND_OBK_CABINET_CRASH
0F8 SOUND_FLIP_PAGE
0F9 SOUND_KKJ_REVEAL_BUTTON
0FA SOUND_KKJ_PRESS_BUTTON
0FB SOUND_KKJ_DROP_INTO_ASHES
0FC SOUND_KKJ_EXTINGUISH_FIRE
0FD SOUND_SNEAKY_PARASOL_COPY
0FE SOUND_SNEAKY_PARASOL_TRANSFORM
0FF SOUND_START_OVEN_TIMER
100 SOUND_KOOPER_STEP
108 SOUND_HIT_SPIKE
10B SOUND_HAMMER_WINDUP
10C SOUND_IMMUNE
10D SOUND_HIT_BONES
10E SOUND_HIT_SILENT
10F SOUND_ACTOR_HURT
110 SOUND_HIT_RATTLE
131 SOUND_HEART_BLOCK
133 SOUND_UNUSED_HEAL_BLOCK
134 SOUND_ASCENDING_CHIMES
135 SOUND_DESCENDING_CHIMES
137 SOUND_STAR_CARD_APPEARS
138 SOUND_RESCUE_STAR_SPIRIT
139 SOUND_RECEIVE_STAR_POWER
13D SOUND_MONSTAR_BREAKS_APART
13E SOUND_STAR_KID_FLYING
141 SOUND_STEP_NORMAL1
142 SOUND_STEP_NORMAL2
143 SOUND_STEP_CRUNCHY1
144 SOUND_STEP_CRUNCHY2
146 SOUND_SPIN_JUMP
147 SOUND_TORNADO_JUMP
148 SOUND_LAND_SOFTLY
149 SOUND_LAND_SPIN_JUMP
14A SOUND_LAND_TORANDO_JUMP
14E SOUND_HIT_BLOCK
14F SOUND_SMASH_HAMER_BLOCK_1
150 SOUND_SMASH_HAMER_BLOCK_2
151 SOUND_SMASH_HAMER_BLOCK_3
152 SOUND_ACTIVATE_SWITCH
153 SOUND_SEARCH_BUSH
156 SOUND_PLAYER_CHARGE
158 SOUND_BLOCK_SHATTER
159 SOUND_SMALL_BOING
15A SOUND_ACTOR_JUMPED_1
15B SOUND_ACTOR_JUMPED_2
15C SOUND_ACTOR_JUMPED_3
15D SOUND_PLAYER_RUN_IN_PLACE
15E SOUND_PLAYER_RUN_AWAY
160 SOUND_LONG_PLAYER_JUMP
161 SOUND_PLAYER_LONG_FALL
162 SOUND_TRIP
163 SOUND_ENTER_PIPE
164 SOUND_LRAW_NOTHING_26
165 SOUND_SMACK_TREE
166 SOUND_SHAKE_TREE_LEAVES
167 SOUND_SLIDE
168 SOUND_LRAW_ZIPLINE_RIDE
172 SOUND_DUST_OFF
173 SOUND_RUN_AWAY_BUILDUP
174 SOUND_RUN_AWAY
175 SOUND_PAPER_GLIDE_1
176 SOUND_PAPER_GLIDE_2
179 SOUND_LUIGI_STEP_A
17A SOUND_LUIGI_STEP_B
17B SOUND_ISPY
17C SOUND_STARSHIP_ENGINE_LOOP
17D SOUND_STARSHIP_TAKEOFF_LONG
